id,text,Label,Model_classification
0," this improvement request usability performance tech debt etc affects these traffic control components
 traffic ops

 current behavior
the deprecated traffic ops api version  exists

 new behavior
the deprecated traffic ops api version  no longer exists

",TD,TD
1," this improvement request usability performance tech debt etc affects these traffic control components
 traffic ops database

 current behavior
there are a bunch of migrations that were released with  and still exist

 new behavior
migrations that were in  are squashed into the createtablessql script

",TD,Not_TD
2," this improvement request usability performance tech debt etc affects these traffic control components
 traffic monitor

 current behavior
as of  tm will no longer overwrite its monitoringjson snapshot data with corresponding crconfig snapshot data if the monitoringjson contains ip addresses for the tms meaning it now has parity with the crconfig data however it still needs the crconfig in order to filter out delivery services from monitoringjson which arent present in the crconfig that was fixed in  in that the monitoringjson no longer contains delivery services from other cdns to which the tm doesnt belong

 new behavior
once atc  is released with the changes from  we should be able to remove this fallback behavior from tm and possibly its reliance on the crconfig altogether in the next majorminor release that is because monitoringjson snapshots as of to  will contain all the necessary data and will no longer need to rely on the crconfig snapshot
",TD,TD
3,"

 this improvement request usability performance tech debt etc affects these traffic control components

 traffic clients go
 traffic ops
 documentation

 current behavior


the currently logged in user has the ability to edit various fields via a put request to the usercurrent endpoint however that request must be wrapped in a user json object such that the body looks something like
json

  user 
      
  



this object appears to be unnecessary but adds a gotcha of sorts to the put requests even resulting in bug submissions such as  

 new behavior

removing this wrapper will help reduce unnecessary code reduce and add clarity to documentation and help with maintainability going forward

go
 libgotcusersgo

 currentuserupdaterequest differs from a regular userusercurrent in that many of its fields are
 parsed but not unmarshaled this allows a handler to distinguish between null and
 undefined values
type currentuserupdaterequest struct 
	 user for whatever reason contains all of the actual data
	user currentuserupdaterequestuser jsonuser  this is the wrapper



additionally the documentation for the api endpoint will need to be updated to remove the reference to the user wrapper object ",TD,TD
4," this tech debt affects these traffic control components
none

 current behavior
there are a bunch of dockerfiles sitting under infrastructuredocker not counting the ones in infrastructuredockerbuild that are used by pkg that have no current possible use and should be removed to avoid having eg usages old api versions in the codebase that nobody wants to fix because nobody actually uses those the dockerfiles in question were meant to represent a minimal atc system for use in development and testing i arrogantly assert that cdninabox at infrastructurecdninabox and the developer environment at dev have rendered these dockerfiles obsolete

according to the changelog traffic ops api version  was removed on  those dockerfiles use api version  until  is merged that means that for roughly  months those docker images that relied on it in infrastructuredocker have been broken they are currently broken in latest supported release of atc which evidently nobody thought was worth a 

so it appears truly nobody has been using these for quite some time

 new behavior
get rid of em

",TD,TD
5," this improvement request usability performance tech debt etc affects these traffic control components
 traffic ops database

 current behavior
there are a bunch of migrations that were released with  and still exist

 new behavior
migrations that were in  are squashed into the createtablessql script

",TD,Not_TD
6," this improvement request usability performance tech debt etc affects these traffic control components
 traffic ops

 current behavior
the type of the response properties of response bodies from post requests to profileparameters in all api versions are odd if the array request format is used and multiple associations between profiles and parameters are created then the response will be
json

	alerts 
		
			text profileparameters were created
			level success
		
	
	response null



when creating a single association the response looks like

json

	alerts 
		
			text profileparameter was created
			level success
		
	
	response 
		lastupdated null
		profile null
		profileid 
		parameter null
		parameterid 
	



where presumably lastupdated is meant to be the time of the associations creation profile is probably meant to be the name of the profile identified by profileid and parameter could possibly be the name of the parameter identified by parameterid although thats not enough information to identify a parameter however all of these properties are always null

get requests return different representations of the associations in the form
json

	response 
		
			lastupdated  
			profile global
			parameter 
		
        



so profiles are identified by name and never id  however the filtering query parameters offered by that endpoint do not allow filtering by profile name only id parameters on the other hand are only presented as ids but use the property name parameter whereas the post response uses the property name parameterid to represent the same information  and the query parameter offered by the endpoint to filter by parameter id is likewise parameterid note that in get requests lastupdated is properly never null

 new behavior
the representation used for an object should not vary so wildly between requests and responses and between request methods of the same endpoint a single representation format must be chosen and used for all representations

according to the api guidelines the response should be a representation of the created objects therefore when something is created null is always an unacceptable response

likewise null is not a valid datetime value so it is always unacceptable as a value for lastupdated and similarly there is no point in always returning null for pieces of information that are redundant other identifiers exist useless fields andor the information is knowable at the time of the request which it is in the case of post requests as described above

finally though the  also state

 relationships should not be represented through the api as objects in their own right

so this endpoint really should not exist at all which would be a totally acceptable solution to this issue even if such an endpoint is desirable i would hesitate to say that being able to make assignments of more than one distinct parameter to more than one distinct profile is an unintuitive ux at best and is typically better accomplished using profilesidparameters andor parametersidprofiles instead in the case of bootstrapping an environment eg for testing the profiles and parameters must be created first anyway so using profile importing would be much easier and faster than using this method furthermore for manipulating associations between parameters and profiles we have

 parameterprofile
 profileparameter
 profileparameters
 profileparametersprofile idparameter id
 profilesidparameters
 profilesimport kinda
 profilesnamenameparameters

and i refuse to believe that all of these are necessary to accomplish whatever obscure task a user requires

this bug may be a regression but at this point im not going to go back to perl days to find out",TD,TD
7,"everywhere we use raw strings that can be enums we should convert them
for example in cachegroupqueueupdatego on line  queue and dequeue can be converted to string enums",TD,TD
8,"usetenancy is now on by default   we can simplify quite a bit of code including sql by no longer checking this parameter

note  the perl code should not be touched except where it gets the value of that parameter always assume   only go code should be cleaned up",TD,TD
9,"
error   checking local user password algorithm defined is not scrypt

this error message is continually spewing in the logs  seems like this should be called when there is a true error",TD,Not_TD
