id,text,Label,Model_classification
0,"non exhaustive list of improvements 

   remove usage of deprecated methods
   implement dependancy injection
   make use of data providers in test cases

nice to have debatable priorityprobably separate refactoring stage
   use http error codes",TD,TD
1,"from 



oh fun oh fun

what happens here is that our awesome codebase has the is config writable check in at least three different places and the logic is all different  yay

 a check in libprivateconfigphp whether the file configconfigphp exists 
 a  check in libbasephp whether the file configconfigphp is writable or the readonly mode is set 
 a check in libprivateutilphp which checks whether the config directory is writable the even more funny thing here is that this code path is only called for new sessions thus all existing sessions will work happily but as soon as you start a new one things will explode

for the sake of having an usable documentation id say that we adjust the documentation for now and in the future unify these insane checks somehow in core  but that is unrelated… no need to have them at three different places and also no need to be different everywhere especially the third check is really some magic voodoo which abuses the session storage totally 



related to ",TD,TD
2," steps to reproduce
 use ocpconfigsetuservalue

 expected behaviour
returns false when no rows affected

 actual behaviour
returns false also if exception occurred


ocpreferencesetvalue returns a bool indicating if any rows have been affected 

however the public wrapper of this tries to catch exceptions and returns false if it catches one 

so if you use the public method you cannot determine if the call succeeded or not",TD,TD
3,"currently it is quite difficult to keep the database clean on deletion
if we had foreign keys we could use the cascading delete feature of database to automatically remove orphaned entries

some examples
 remove shares when file cache entry is gone 
 cleaning up tags for deleted files need a lot of different hooks when unshared when deleted when moved out of shared dir etc 
 cleanup up tags when a user is deleted 

also it would help to maintain a stronger data integrity and avoid issues like having storage entries the known legacy storage case that do not match users file cache entries any more etc
it would also prevent potential bugs to do partial manipulations in the db or integrity breaking operations

open questions
 should external apps also define foreign keys that might point to cores tables  a core table should not have foreign keys to external tables though
 what was the initial though process for deciding to not use foreign keys in the first place  at least so we can have it documented here

cc  karlitschek 
",TD,Not_TD
4,"the escapehtml should be called while replacing the variables in t and shouldnt be done in following way

tfilessharing shared by owner owner escapehtmlfiledatashareowner


cc lukasreschke  ",TD,TD
5,"ocsubadmin is static and thus it is an absolute pain to write unittest for code that includes it this is kinda bad when it comes to write unittest where a function may behave differently when the user is an admin or an subadmin

when touching the ocsubadmin code  for example for   i strongly suggest that we refactor the same code as well currently we just cannot test a lot of security relevant code due to that 

cc  fyi",TD,TD
6,"currently the scan method will reset etags by default unless a reuseetags argument is passed

this is unintuitive and can be the cause of misunderstandings that lead to developers believing that the behavior is the reverse this happened here 

schiesbn suggested to change it to have reuseetags be the default
if someone wants to force recreation of etag they should pass an extra flag

 ",TD,TD
7,"when sharing or resharing permissions need to be computed based on different criterion
 reshare permissions are computed based on the parent share permissions
 a shared folder must always be unsharable from self so it has an extra delete permission
 ext storage mount points have extra permissions that need to be computed
 remote shares have different permissions
 link shares  based on whether allow upload is globally allowed
 whether resharing is allowed globally
 

the logic for all of these is spread across multiple mechanisms
some are computed on the server side some on the js side some in the share dropdown some using the special datasharepermissions attribute

the idea is to refactor all this into a central place instead of spread all over the place

cc   schiesbn ",TD,TD
8,the appstore is currently queried everytime you often the apps pages which can result in a major performance drawback it may be sensible to cache the response for some timeframe,TD,TD
9,the appstore is currently queried everytime you open the apps pages which can result in a major performance drawback it may be sensible to cache the response for some timeframe,TD,TD
10,"our custom autoloader ocautoloader is actually very slow and requires alone about  for every request thats a huge amount when we compare it to the composer loader




we can see that the composer autoloader is actually called about twice the time but only takes a quarter of the time it can also be seen that this seems to be a problem in the logic as  are spent on cpu on our autoloader",TD,TD
11,"when uploadingoverwrite a file through webdav the following warningdebug message often appears in the log

 no reuse of etag for filestesttxt 


from what i remember this message is harmless we should look into removing it as it can be misleading

 can you confirm 
",TD,TD
12,"applications should be possible to prevent the remember me login from working for specific users and if that is done a decent notice should get shown to the user so that he gets aware of this

the current implementation requires us to disable remember me if apps such as filesexternal are enabled which have the login with owncloud credentials feature

ref  and ",TD,TD
13,"we do some really fancy and slloooooow magic when locating js files added with ocutiladdscript the following paths are added for instance

 jschosenjs
 newsjsappjs

then in order to locate the file we loop over all possible directories and figure out if the file exists why cant we simply construct a valid path like

 corejschosenjs
 appsnewsjsappjs

inside the addscript method

  lukasreschke morrisjobke ",TD,TD
