id,text,Label,Model_classification
0," description of the task
 separate direct and indirect free kick plays probably have a generic freekickplay that they both extend
 delete cornerkickplay and use indirectfreekickplay instead
   this will require changing the cherrypick region assignment to be more based on ball location
 directfreekickplay is going to be basically the same as indirectfreekickplay except that it can check for direct shots


    what does this work depend on
    what interface will this work use or create
    what are the main components of the task
    where does this work fit in the larger project

    it is important to define this task sufficiently so that an untrained
    team member can take it on and know where to start feel free to
    link to resources or other team member which could guide the assignee to
    complete the task


 acceptance criteria


    checkbox list that outlines what needs to be done in order for this task
    to be considered complete

    specify any implementation requirements such as data structures
    functionalities testing requirements documentation etc


  make indirectfreekickplay
  make directfreekickplay
  remove cornerkickplay and use indirectfreekickplay instead

 blocked by


    list all other issues that need to be completed before this one ex
     
     


",TD,TD
1," description of the task
see title general idea is we should be able to write

duration d   
stdcout  d

and get something like 






    what does this work depend on
    what interface will this work use or create
    what are the main components of the task
    where does this work fit in the larger project

    it is important to define this task sufficiently so that an untrained
    team member can take it on and know where to start feel free to
    link to resources or other team member which could guide the assignee to
    complete the task


 acceptance criteria


    checkbox list that outlines what needs to be done in order for this task
    to be considered complete

    specify any implementation requirements such as data structures
    functionalities testing requirements documentation etc


  print operators for the timestamp class
  print operators for the duration class
  item c

 blocked by


    list all other issues that need to be completed before this one ex
     
     


",TD,Not_TD
2," description of the task
currently passgenerator is not deterministic because the optimization it uses occurs in a seperate thread this is bydesign so that it is performant in game scenarios but it means that tests for it are quite flaky we should redesign it to separate out the threading if possible or at least add a compiler flag to disable it and add a way to run it for a set number of iterations for the testing purposes


    what does this work depend on
    what interface will this work use or create
    what are the main components of the task
    where does this work fit in the larger project

    it is important to define this task sufficiently so that an untrained
    team member can take it on and know where to start feel free to
    link to resources or other team member which could guide the assignee to
    complete the task


 acceptance criteria


    checkbox list that outlines what needs to be done in order for this task
    to be considered complete

    specify any implementation requirements such as data structures
    functionalities testing requirements documentation etc


  seperate out threading from the passgenerator class entirely or failing that add some sort of compiletime option to disable it
  reenable all passgenerator tests and ensure that they pass
  consider what about for other tests for plays that use the passgenerator we need to make those deterministic as well this likely means were missing some acceptance criteria here

 blocked by


    list all other issues that need to be completed before this one ex
     
     


",TD,TD
3," description of the task
review all usages of the loopforever argument in actions and tactics and check if they are sane remove any usages that dont make sense and in cases where we remove a usage we should assign a reasonable default in the class constructor instead

consider
 should the tacticaction even have the option to loopforever does that make sense ex should goalie have the option to loopforever or is that just implied

    what does this work depend on
    what interface will this work use or create
    what are the main components of the task
    where does this work fit in the larger project

    it is important to define this task sufficiently so that an untrained
    team member can take it on and know where to start feel free to
    link to resources or other team member which could guide the assignee to
    complete the task


 acceptance criteria


    checkbox list that outlines what needs to be done in order for this task
    to be considered complete

    specify any implementation requirements such as data structures
    functionalities testing requirements documentation etc


  review the usage of loopforever in all tacticsactions
  for all tacticsactions if loopforever is exposed and it should not be ex in the case of the goalie it should not be accessible from outside the class and should be assigned a reasonable default in the class constructor
 blocked by


    list all other issues that need to be completed before this one ex
     
     


",TD,TD
4," description of the task
currently we have no way of testing the high level behavior of tacticsplays we would like to have a very simple framework for specifying things like

set robot a at 
set ball at 
run tactic grabball 
assert robot moves to ball

and similarly for plays

some general notes from brainstorming
 do not simulate collisions physics just step robots along the direction of their path  primitive
 do not simulate ball motion initially
 start with a basic one where we have simulated implementations for how the primitives move
 move to using our firmware stack later
 should work with the visualizer
 should be able to run on ci
 should be fast to run

this ticket is for planning of work and creation of all the issues to make this happen



    what does this work depend on
    what interface will this work use or create
    what are the main components of the task
    where does this work fit in the larger project

    it is important to define this task sufficiently so that an untrained
    team member can take it on and know where to start feel free to
    link to resources or other team member which could guide the assignee to
    complete the task


 acceptance criteria


    checkbox list that outlines what needs to be done in order for this task
    to be considered complete

    specify any implementation requirements such as data structures
    functionalities testing requirements documentation etc


  create all required tickets for implementing the framework  simulator described above being sure to reference this ticket in all of them
  document design decisions in this ticket

 blocked by


    list all other issues that need to be completed before this one ex
     
     


",TD,TD
5," description of the task
currently the navigator interface takes intents and return primitives unfortunately this means that we cant have a generic set of navigator tests because we would like to be able check that all navigators do not violate certain constraints in certain scenarios

we should somehow split up the navigator interface so that a generic test framework can pass in intents and get a path back that it can perform checks on

this ticket is for planning out the work required for this and creating the needed tickets


    what does this work depend on
    what interface will this work use or create
    what are the main components of the task
    where does this work fit in the larger project

    it is important to define this task sufficiently so that an untrained
    team member can take it on and know where to start feel free to
    link to resources or other team member which could guide the assignee to
    complete the task


 acceptance criteria


    checkbox list that outlines what needs to be done in order for this task
    to be considered complete

    specify any implementation requirements such as data structures
    functionalities testing requirements documentation etc


  redesign navigator interface as mentioned above and document here
  file tickets to implement navigator interface redesign

 blocked by


    list all other issues that need to be completed before this one ex
     
     


",TD,Not_TD
6," description of the task
create a generic suite of tests to make sure we can verify that all navigators obey sane behavior this will likely take the form of designing a series of scenarios that we expect all navigators to be able to handle and writing tests for them this will allow us to more rapidly bring up new navigation algorithms in the future with much greater confidence


    what does this work depend on
    what interface will this work use or create
    what are the main components of the task
    where does this work fit in the larger project

    it is important to define this task sufficiently so that an untrained
    team member can take it on and know where to start feel free to
    link to resources or other team member which could guide the assignee to
    complete the task


 acceptance criteria


    checkbox list that outlines what needs to be done in order for this task
    to be considered complete

    specify any implementation requirements such as data structures
    functionalities testing requirements documentation etc


  implement a series of unit tests that represent the set of scenarios we expect all navigators to be able to handle
  test all navigators with the test suite fix or file tickets to fix any bugs found

 blocked by



    list all other issues that need to be completed before this one ex
     
     


",TD,Not_TD
7," description of the task
currently we use a stdpair to represent a shot with the point representing the location to shoot at and the angle representing the open angle for the shot we should replace this with a shot class to cleanup the code and allow for easier calculations with them

a good place to start looking for this is calcbestshotch

note evanmorcom has some opinions about design for this so please talk to him as well


    what does this work depend on
    what interface will this work use or create
    what are the main components of the task
    where does this work fit in the larger project

    it is important to define this task sufficiently so that an untrained
    team member can take it on and know where to start feel free to
    link to resources or other team member which could guide the assignee to
    complete the task


 acceptance criteria


    checkbox list that outlines what needs to be done in order for this task
    to be considered complete

    specify any implementation requirements such as data structures
    functionalities testing requirements documentation etc


  create a shot class that can be used in place of the stdpair in all cases where were considering it a shot in our repo
  replace instances of stdpair being used to represent shots in the repo with your new class

 blocked by


    list all other issues that need to be completed before this one ex
     
     


",TD,Not_TD
8," description of the task
currently tactics return intents by calling actions however this can make it hard to test tactics because you have to understand the behavior of the action the tactic is using in order to figure out what intent should be returned as such we should consider having tactics return actions which can then be queried to get the next intent

this has some issues
 actions are stateful and use coroutines so cant be copied easily while running
 do you really need to understand actions to have an expected output from tactics

this ticket is to consider this idea and file tickets if we decide to pursue it


    what does this work depend on
    what interface will this work use or create
    what are the main components of the task
    where does this work fit in the larger project

    it is important to define this task sufficiently so that an untrained
    team member can take it on and know where to start feel free to
    link to resources or other team member which could guide the assignee to
    complete the task


 acceptance criteria


    checkbox list that outlines what needs to be done in order for this task
    to be considered complete

    specify any implementation requirements such as data structures
    functionalities testing requirements documentation etc


  decide to pursue this idea or not
  figure out work required if we decide to pursue
  file appropriate tickets for required work if we decide to pursue

 blocked by


    list all other issues that need to be completed before this one ex
     
     


",TD,Not_TD
9," description of the task
split the updateparams methods in all tactics into updateworldparams and updatecontrolparams 
 note naming is flexible here names in this issue are just suggestions
 updateworldparams should take all the parameters required by the tactic that can be derived from the work ex field ball etc
 updatecontrolparams should take all other params kickspeed pivotradius etc


    what does this work depend on
    what interface will this work use or create
    what are the main components of the task
    where does this work fit in the larger project

    it is important to define this task sufficiently so that an untrained
    team member can take it on and know where to start feel free to
    link to resources or other team member which could guide the assignee to
    complete the task


 acceptance criteria


    checkbox list that outlines what needs to be done in order for this task
    to be considered complete

    specify any implementation requirements such as data structures
    functionalities testing requirements documentation etc


  split the updateparams methods for every tactic into updateworldparams and updatecontrolparams
  change all usages of updateparams to call both methods in appropriate order

 blocked by


    list all other issues that need to be completed before this one ex
     
     


",TD,TD
